study_hours,attendance_pct,previous_score,sleep_hours,passed
2.5,65,45,6.0,0
8.0,92,88,7.5,1
4.0,70,55,6.5,0
9.5,95,90,8.0,1
1.5,50,40,5.0,0
7.0,85,78,7.0,1
5.5,78,62,6.5,1
3.0,60,50,5.5,0
8.5,90,85,7.0,1
2.0,55,42,6.0,0
6.0,80,70,7.5,1
9.0,98,92,8.0,1
3.5,68,52,6.0,0
7.5,88,80,7.0,1
1.0,45,35,5.0,0
6.5,82,75,6.5,1
4.5,72,58,6.0,0
8.2,91,87,7.5,1
5.0,75,60,7.0,1
2.8,58,48,5.5,0
7.2,86,79,7.2,1
3.2,62,51,5.8,0
8.8,94,91,8.1,1
1.2,48,38,5.2,0
6.8,83,76,6.8,1
4.2,71,56,6.2,0
9.1,96,93,7.9,1
2.2,56,43,5.9,0
5.8,79,68,6.9,1
8.1,89,84,7.4,1
3.8,66,54,6.1,0
7.8,87,82,7.1,1
1.8,52,41,5.4,0
6.2,81,72,6.6,1
4.8,74,59,6.3,0
8.6,93,89,7.8,1
2.6,59,46,5.7,0
7.1,84,77,7.3,1
3.4,63,53,6.0,0
9.3,97,94,8.2,1
1.4,49,39,5.1,0
6.4,81,73,6.7,1
4.1,69,57,6.1,0
8.4,92,86,7.6,1
2.1,54,44,5.6,0
5.9,78,69,6.8,1
7.6,88,81,7.2,1
3.6,67,53,5.9,0
8.9,95,92,7.9,1
1.6,51,40,5.3,0
6.6,83,74,6.6,1
4.6,73,58,6.4,0
8.3,90,87,7.5,1
2.4,57,47,5.8,0
7.3,85,78,7.0,1
3.1,61,49,5.6,0
9.2,96,95,8.0,1
1.7,53,42,5.2,0
6.1,80,71,6.5,1
4.4,71,59,6.2,0
8.7,94,88,7.7,1
2.9,60,48,5.7,0
7.4,86,80,7.1,1
3.3,64,52,5.9,0
9.0,98,91,8.3,1
1.1,46,36,4.9,0
6.7,82,76,6.9,1
4.3,70,56,6.0,0
8.0,89,85,7.3,1
2.3,55,43,5.5,0
5.6,77,66,6.7,1
7.9,88,83,7.4,1
3.7,65,54,6.0,0
8.5,93,90,7.8,1
1.9,52,41,5.3,0
6.3,81,72,6.7,1
4.7,72,60,6.2,0
8.1,91,86,7.6,1
2.7,58,46,5.6,0
7.0,84,77,6.9,1
3.9,68,55,6.1,0
9.4,97,93,8.1,1
1.3,47,37,5.0,0
6.9,83,75,6.8,1
4.0,69,58,6.3,0
8.3,92,87,7.4,1
2.0,53,42,5.4,0
5.7,78,67,6.6,1
7.7,87,82,7.3,1
3.5,66,51,5.8,0
8.8,95,91,8.0,1
1.5,50,39,5.2,0
6.5,82,74,6.7,1
4.9,74,61,6.5,1
8.2,90,86,7.5,1
2.6,57,45,5.6,0
7.2,85,79,7.1,1
3.2,63,50,5.7,0
9.0,96,92,8.0,1
1.8,51,40,5.3,0
